Start Date,End Date,Peak Demand,Consumption,Cost,Billing Demand
4/10/2012,5/8/2012,58,17040,2852,
3/9/2012,4/9/2012,39,14400,2406,
2/9/2012,3/8/2012,48,16720,2739,
1/10/2012,2/8/2012,54,21600,3162,
12/8/2011,1/9/2012,61,23840,3276,
11/8/2011,12/7/2011,52,18720,2969,
10/11/2011,11/7/2011,59,16960,2753,
9/9/2011,10/10/2011,75,26240,3410,
8/10/2011,9/8/2011,94,38240,4413,
7/11/2011,8/9/2011,96,39600,4555,
6/9/2011,7/10/2011,95,39200,4531,
5/10/2011,6/8/2011,86,33280,4147,
4/8/2011,5/9/2011,95,26400,3564,
3/10/2011,4/7/2011,47,17360,2837,
2/9/2011,3/9/2011,50,19040,3089,
1/10/2011,2/8/2011,50,23200,3372,
12/8/2010,1/9/2011,55,26720,3309,
11/8/2010,12/7/2010,51,21200,2891,
10/9/2010,11/7/2010,59,20560,2854,
9/9/2010,10/8/2010,85,29760,3387,
8/10/2010,9/8/2010,102,41360,4331,
7/9/2010,8/9/2010,100,48240,4710,
6/9/2010,7/8/2010,101,43040,4415,
5/10/2010,6/8/2010,89,31280,3564,
4/9/2010,5/9/2010,60,16160,2352,
3/10/2010,4/8/2010,46,17360,2513,
2/9/2010,3/9/2010,58,23920,2889,
1/9/2010,2/8/2010,58,27360,3074,
12/8/2009,1/8/2010,53,24720,2932,
11/11/2009,12/7/2009,49,17440,2452,
10/13/2009,11/10/2009,45,17680,2483,
9/10/2009,10/12/2009,86,30960,3268,
8/13/2009,9/9/2009,93,32160,3332,
7/11/2009,8/12/2009,94,45360,4036,
6/11/2009,7/10/2009,98,45440,4105,
5/13/2009,6/10/2009,88,29040,3088,
4/10/2009,5/12/2009,87,25920,2358,
3/13/2009,4/9/2009,61,21440,1943,
2/13/2009,3/12/2009,61,21440,1943,
1/11/2009,2/12/2009,70,29360,2343,
12/10/2008,1/10/2009,50,20000,1673,
11/9/2008,12/9/2008,53,15840,1460,
10/11/2008,11/8/2008,40,10960,1057,
9/11/2008,10/10/2008,25,8480,756,
