Start Date,End Date,Peak Demand,Consumption,Cost,Billing Demand
12/16/2011,1/19/2012,,447,611.02,
1/20/2012,2/20/2012,,281,391.97,
2/21/2012,3/20/2012,,258,348.82,
3/21/2012,4/17/2012,,112,148.27,
4/18/2012,5/18/2012,,50,70.13,
5/19/2012,6/21/2012,,64,99.32,
6/22/2012,7/19/2012,,4,27.31,
7/20/2012,8/21/2012,,4,27.22,
8/22/2012,9/19/2012,,28,51.92,
9/20/2012,10/18/2012,,52,77.36,
10/19/2012,11/19/2012,,198,230.77,
11/20/2012,12/19/2012,,211,263.47,
12/20/2012,1/21/2013,,357,391.8,
1/22/2013,2/20/2013,,396,402.6,
2/21/2013,3/19/2013,,175,193.75,
3/20/2013,4/17/2013,,369,382.92,
4/18/2013,5/20/2013,,58,85.2,
5/21/2013,6/20/2013,,65,89.39,
6/21/2013,7/19/2013,,4,29.01,
7/20/2013,8/21/2013,,7,31.53,
8/22/2013,9/19/2013,,40,61.78,
9/20/2013,10/22/2013,,31,59.09,
10/23/2013,11/19/2013,,188,192.81,
11/20/2013,12/20/2013,,346,333.3,
12/21/2013,1/20/2014,,372,387.79,
1/21/2014,2/19/2014,,475,479.85,
