Start Date,End Date,Peak Demand,Consumption,Cost,Billing Demand
12/1/2011,12/30/2011,,5442,653.88,17.9
12/31/2011,1/31/2012,,6369,636.89,17.8
2/1/2012,2/29/2012,,5765,549.21,16.4
3/1/2012,3/30/2012,,5788,556.31,18.5
3/31/2012,5/1/2012,,5748,560.29,18.6
5/2/2012,6/1/2012,,6167,610.22,19.9
6/2/2012,6/29/2012,,6118,646.18,19.7
6/30/2012,8/1/2012,,8173,824.2,20.9
8/2/2012,8/31/2012,,7011,723.52,19.6
9/1/2012,10/1/2012,,6029,631.69,19.9
10/2/2012,10/30/2012,,5401,628.08,19.7
10/31/2012,11/30/2012,,6214,703.03,17.6
12/1/2012,1/3/2013,,6499,684.58,19.1
1/4/2013,1/31/2013,,6013,813.84,18.2
2/1/2013,3/1/2013,,5913,718.45,16.8
3/2/2013,4/1/2013,,5953,676.22,16.2
4/2/2013,5/1/2013,,5438,594.17,15.6
5/2/2013,6/1/2013,,6736,805.16,20.1
6/2/2013,7/1/2013,,5915,694.64,20.1
7/2/2013,8/1/2013,,7974,940.4,20.4
8/2/2013,9/3/2013,,7160,776.27,20.2
9/4/2013,10/1/2013,,5656,675.02,19.1
10/2/2013,10/30/2013,,5287,659.98,21.6
10/31/2013,12/2/2013,,6267,653.26,18.1
12/3/2013,1/2/2014,,6010,745.71,18.8
1/3/2014,1/31/2014,,6003,1296.17,16.8
