Start Date,End Date,Peak Demand,Consumption,Cost,Billing Demand
12/2/2011,12/30/2011,,288,407.33,
12/31/2011,2/1/2012,,430,592.38,
2/2/2012,3/1/2012,,366,490.17,
3/2/2012,4/3/2012,,189,255.79,
4/4/2012,5/3/2012,,136,151.12,
5/4/2012,6/4/2012,,34,61.73,
6/5/2012,7/6/2012,,5,28.27,
7/7/2012,8/2/2012,,3,26.3,
8/3/2012,9/5/2012,,4,27.5,
9/6/2012,10/2/2012,,4,29.14,
10/3/2012,11/2/2012,,52,81.8,
11/3/2012,12/4/2012,,261,289.57,
12/5/2012,1/6/2013,,388,443.65,
1/7/2013,2/4/2013,,412,435.51,
2/5/2013,3/5/2013,,502,509.51,
3/6/2013,4/3/2013,,342,344.73,
4/4/2013,5/1/2013,,133,159.83,
5/2/2013,6/4/2013,,22,48.44,
6/5/2013,7/2/2013,,10,35.27,
7/3/2013,8/2/2013,,7,31.7,
8/3/2013,9/5/2013,,7,31.51,
9/6/2013,10/2/2013,,5,29.98,
10/3/2013,10/31/2013,,49,74.12,
11/1/2013,12/3/2013,,296,283.04,
12/4/2013,1/7/2014,,482,476.9,
1/8/2014,2/4/2014,,733,711.61,
