Start Date,End Date,Peak Demand,Consumption,Cost,Billing Demand
10/1/2011,10/31/2011,,3234.666667,21.72,
11/1/2011,11/30/2011,,3234.666667,21.72,
12/1/2011,12/31/2011,,3234.666667,21.72,
1/1/2012,1/31/2012,,6788.333333,45.56333333,
2/1/2012,2/29/2012,,6788.333333,45.56333333,
3/1/2012,3/31/2012,,6788.333333,45.56333333,
4/1/2012,4/30/2012,,4084,27.42,
5/1/2012,5/31/2012,,4084,27.42,
6/1/2012,6/30/2012,,4084,27.42,
7/1/2012,7/31/2012,,5845.333333,39.23333333,
8/1/2012,8/31/2012,,5845.333333,39.23333333,
9/1/2012,9/30/2012,,5845.333333,39.23333333,
10/1/2012,10/31/2012,,4049.333333,27.18666667,
11/1/2012,11/30/2012,,4049.333333,27.18666667,
12/1/2012,12/31/2012,,4049.333333,27.18666667,
1/1/2013,1/31/2013,,4394.333333,34.13666667,
2/1/2013,2/28/2013,,4394.333333,34.13666667,
3/1/2013,3/31/2013,,4394.333333,34.13666667,
4/1/2013,4/30/2013,,5164.666667,41.61,
5/1/2013,5/31/2013,,5164.666667,41.61,
6/1/2013,6/30/2013,,5164.666667,41.61,
7/1/2013,7/31/2013,,5695,45.98,
8/1/2013,8/31/2013,,5695,45.98,
9/1/2013,9/30/2013,,5695,45.98,
10/1/2013,10/31/2013,,3654.333333,29.16333333,
11/1/2013,11/30/2013,,3654.333333,29.16333333,
12/1/2013,12/31/2013,,3654.333333,29.16333333,
