Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: MM/dd/yy
  timeFormat: hh:mm:ss a
  gmtOffset: "-5"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "DRA Temps"
    model: HOBO U12-006 4-Channel Ext
    vendor: Onset Computer Corporation
    serialNumber: 10093658
    memorySize: 65536
    firmwareVersion: 1.17
    firmwareVersionRaw: 273
    deploymentNumber: 14
Series Info: 
  - name: "Temp"
    type: value
    unitName: "°C"
    OMClassName: OMTemp_Thermistor
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.000;-#,##0.000"
    logger: *1
  - name: "Temp"
    type: value
    unitName: "°C"
    OMClassName: OMTemp_Thermistor
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.000;-#,##0.000"
    logger: *1
  - name: "Temp"
    type: value
    unitName: "°C"
    OMClassName: OMTemp_Thermistor
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.000;-#,##0.000"
    logger: *1
  - name: "End Of File"
    type: internalEvent
    logger: *1
------------
"#","Time, GMT-05:00","Temp, °C","Temp, °C","Temp, °C","End Of File"
112,12/11/12 05:07:00 AM,47.092,17.177,19.817,
113,12/11/12 05:10:00 AM,47.028,17.177,19.817,
114,12/11/12 05:13:00 AM,46.995,17.177,19.770,
115,12/11/12 05:16:00 AM,46.963,17.177,19.793,
116,12/11/12 05:19:00 AM,46.899,17.201,19.746,
117,12/11/12 05:22:00 AM,46.866,17.177,19.722,
118,12/11/12 05:25:00 AM,46.834,17.153,19.698,
119,12/11/12 05:28:00 AM,46.802,17.130,19.698,
120,12/11/12 05:31:00 AM,46.802,17.106,19.698,
121,12/11/12 05:34:00 AM,46.834,17.082,19.722,
122,12/11/12 05:37:00 AM,46.899,17.082,19.698,
123,12/11/12 05:40:00 AM,46.995,17.082,19.746,
124,12/11/12 05:43:00 AM,47.060,17.082,19.698,
125,12/11/12 05:46:00 AM,47.092,17.082,19.698,
126,12/11/12 05:49:00 AM,47.092,17.058,19.651,
127,12/11/12 05:52:00 AM,47.092,17.034,19.627,
128,12/11/12 05:55:00 AM,47.060,16.987,19.627,
129,12/11/12 05:58:00 AM,46.995,16.987,19.627,
130,12/11/12 06:01:00 AM,46.963,16.987,19.603,
131,12/11/12 06:04:00 AM,46.899,17.011,19.627,
132,12/11/12 06:07:00 AM,46.866,16.963,19.627,
133,12/11/12 06:10:00 AM,46.834,16.987,19.579,
134,12/11/12 06:13:00 AM,46.802,16.963,19.555,
135,12/11/12 06:16:00 AM,46.738,16.963,19.532,
136,12/11/12 06:19:00 AM,46.321,16.939,19.508,
137,12/11/12 06:22:00 AM,46.099,16.892,19.579,
138,12/11/12 06:25:00 AM,46.258,16.939,19.627,
139,12/11/12 06:28:00 AM,46.545,16.939,19.627,
140,12/11/12 06:31:00 AM,46.705,16.939,19.627,
141,12/11/12 06:34:00 AM,46.834,16.915,19.627,
142,12/11/12 06:37:00 AM,46.834,16.868,19.579,
143,12/11/12 06:40:00 AM,46.931,16.892,19.532,
144,12/11/12 06:43:00 AM,47.028,16.868,19.579,
145,12/11/12 06:46:00 AM,46.963,16.844,19.532,
146,12/11/12 06:49:00 AM,46.673,16.844,19.555,
147,12/11/12 06:52:00 AM,46.449,16.820,19.579,
148,12/11/12 06:55:00 AM,46.290,16.820,19.603,
149,12/11/12 06:58:00 AM,46.385,16.820,19.651,
150,12/11/12 07:01:00 AM,46.641,16.844,19.698,
151,12/11/12 07:04:00 AM,46.705,16.868,19.674,
152,12/11/12 07:07:00 AM,46.449,16.820,19.603,
153,12/11/12 07:10:00 AM,46.226,16.796,19.651,
154,12/11/12 07:13:00 AM,46.194,16.796,19.651,
155,12/11/12 07:16:00 AM,46.449,16.820,19.698,
156,12/11/12 07:19:00 AM,46.609,16.820,19.698,
157,12/11/12 07:22:00 AM,46.577,16.796,19.651,
158,12/11/12 07:25:00 AM,46.321,16.773,19.603,
159,12/11/12 07:28:00 AM,46.162,16.796,19.651,
160,12/11/12 07:31:00 AM,46.321,16.844,19.698,
